id,RarityScore,PunkType,FullType,AttributeCount,Hair,Eyes,FacialHair,NeckAccessory,MouthProp,Mouth,Blemishes,Ears,Nose,ETHPrice,USDPrice,TimeInDays,TimesSold,LastUSDPrice,LastETHPrice,TimePurchase,LastPercentChange,DaysBetweenPurchases
8670,210.07,Female,Female-Mid,4,Straight Hair Blonde,Green Eye Shadow,None,Green Eye Shadow,None,Purple Lipstick,None,None,None,,,,,,,,,
8671,101.93,Male,Male-Light,4,Shaved Head,None,Muttonchops,None,Cigarette,None,None,Earring,None,"[44.0, 46.2, 5.09, 5.0]","[106780.0, 112120.0, 12350.0, 12130.0]","[152.185, 152.185, 365.25, 365.25]",4.0,106780.00,44.00,152.19,-4.763603606817634,0.0
8672,192.9,Male,Male-Dark,3,Messy Hair,Clown Eyes Blue,None,Clown Eyes Blue,None,Buck Teeth,None,None,None,"[49.0, 21.0, 20.0]","[118910.0, 50960.0, 48540.0]","[304.37, 334.807, 334.807]",3.0,118910.00,49.00,304.37,133.33529561821786,30.437000000000012
8673,80.7,Male,Male-Mid,3,Crazy Hair,None,Luxurious Beard,None,None,None,None,Earring,None,"[0.23, 0.13]","[558.1, 315.4]","[1095.75, 1461.0]",2.0,558.10,0.23,1095.75,76.39064475347664,365.25
8674,98.87,Female,Female-Light,4,Wild Hair,None,None,None,Pipe,Purple Lipstick,None,Earring,None,[0.26],[630.9],[1461.0],1.0,630.90,0.26,1461.00,NA,NA
8675,120.88,Male,Male-Mid,2,Fedora,None,None,None,None,None,None,None,Clown Nose,,,,,,,,,
8676,102.73,Male,Male-Dark,2,Fedora,VR,None,VR,None,None,None,None,None,"[5.95, 1.98, 1.48, 0.4]","[14440.0, 4810.0, 3590.0, 970.7]","[365.25, 365.25, 365.25, 730.5]",4.0,14440.00,5.95,365.25,200.1454998960715,0.0
8677,149.8,Male,Male-Light,3,Cap,Small Shades,None,Small Shades,None,None,Rosy Cheeks,None,None,[0.45],[1090.0],[1095.75],1.0,1090.00,0.45,1095.75,NA,NA
8678,103.93,Male,Male-Albino,3,Stringy Hair,Eye Patch,Muttonchops,Eye Patch,None,None,None,None,None,,,,,,,,,
8679,92.81,Male,Male-Light,3,Wild Hair,Big Shades,Chinstrap,Big Shades,None,None,None,None,None,,,,,,,,,
8680,148.4,Female,Female-Dark,3,Blonde Bob,None,None,None,Cigarette,None,None,None,Clown Nose,[36.99],[89770.0],[304.37],1.0,89770.00,36.99,304.37,NA,NA
8681,91.9,Male,Male-Light,3,Mohawk Thin,Big Shades,Normal Beard,Big Shades,None,None,None,None,None,"[145.0, 1.0, 1.0]","[351890.0, 2430.0, 2430.0]","[121.748, 365.25, 365.25]",3.0,351890.00,145.00,121.75,14375.113122171944,243.502
