id,RarityScore,AttributeCount,Background,Fur,Skin,Head,Mouth,Teeth,Clothing,EyeWear,PriceSellSOL,TimeInDays,TimesSold,LastSOLPrice,TimePurchase,LastPriceSOL
118,885,3,Purple,Brown , Peach,Snapback Cap,No Traits,No Traits,Hoodie,Shutter Shades,"['105.00', '95.77']","[30.437, 243.496]",2.0,105.00,30.44,105.0
119,1290,4,Blue,Albino , Peach,Racoon Skin Hat,No Traits,Wooden Tooth,Maid's Uniform,Aviator Glasses,,,,,,
120,2277,3,Yellow,Brown , Peach,Football Helmet,Ape-le Juice,No Traits,Silk Robe,No Traits,"['56.04', '26.82', '22.99']","[243.496, 243.496, 243.496]",3.0,56.04,243.5,56.04
121,2476,3,Purple,Purple , Purple,Beanie,Smooth Brain,No Traits,NB-Ape Yellow,No Traits,['239.50'],[243.496],1.0,239.50,243.5,239.5
122,812,2,Purple,Black , Gray,Beanie,Drool,No Traits,No Traits,No Traits,"['93.64', '36.40', '14.37']","[243.496, 243.496, 243.496]",3.0,93.64,243.5,93.64
123,2747,3,Teal,Green , Green,Knight's Helmet,Soda,No Traits,No Traits,Aviator Glasses,['28.74'],[243.496],1.0,28.74,243.5,28.74
124,2025,4,Yellow,Leopard,Leopard,Fishing Hat,Cigar,No Traits,Striped T-Shirt,Wayfarer Glasses,,,,,,
125,914,3,Yellow,Albino , Peach,Baseball Cap,Grilled Cheese,No Traits,No Traits,Aviator Glasses,"['15.33', '9.58']","[243.496, 243.496]",2.0,15.33,243.5,15.33
126,804,3,Green,Red , Blue,No Traits,Grilled Cheese,Wooden Tooth,No Traits,Ape Vipers,"['76.64', '16.29']","[243.496, 243.496]",2.0,76.64,243.5,76.64
127,1143,2,Teal,Brown , Peach,Explorer's Hat,No Traits,No Traits,Tie-Dye T-Shirt,No Traits,"['47.00', '105.37']","[182.622, 243.496]",2.0,47.00,182.62,47.0
128,1346,3,Green,Green , Peach,Sergeant's Hat,Grilled Cheese,No Traits,Maid's Uniform,No Traits,"['66.00', '38.88', '65.00', '28.17']","[30.437, 121.748, 213.059, 243.496]",4.0,66.00,30.44,66.0
129,1161,2,Teal,Brown , Yellow,Headband,No Traits,No Traits,Striped T-Shirt,No Traits,"['66.00', '19.16']","[213.059, 243.496]",2.0,66.00,213.06,66.0
130,1266,3,Green,Green , Green,No Traits,Burger,No Traits,Turtleneck Suit,Wayfarer Glasses,,,,,,
131,820,2,Blue,Blue , Peach,Musketeer's Hat,No Traits,No Traits,Hoodie,No Traits,['23.95'],[243.496],1.0,23.95,243.5,23.95
132,872,1,Green,Green , Peach,Racoon Skin Hat,No Traits,No Traits,No Traits,No Traits,"['17.72', '14.37', '25.87', '15.33']","[243.496, 243.496, 243.496, 243.496]",4.0,17.72,243.5,17.72
133,879,1,Green,Purple , Peach,Racoon Skin Hat,No Traits,No Traits,No Traits,No Traits,"['25.00', '57.48', '90.05', '91.01', '56.52']","[243.496, 243.496, 243.496, 243.496, 243.496]",5.0,25.00,243.5,25.0
134,903,3,Green,Black , Gray,Sailor's Hat,Sandwich,No Traits,Dress,No Traits,"['7.90', '7.18']","[243.496, 243.496]",2.0,7.90,243.5,7.9
135,1277,4,Purple,Purple , Purple,Straw Hat,Bubblegum,No Traits,Overalls,Wayfarer Glasses,['38.32'],[243.496],1.0,38.32,243.5,38.32
136,673,1,Red,Red , Blue,No Traits,Banana,No Traits,No Traits,No Traits,['16.29'],[243.496],1.0,16.29,243.5,16.29
137,1271,3,Purple,Purple , Purple,Graduation Cap,Drool,No Traits,Academy Uniform,No Traits,,,,,,
138,1278,4,Purple,Purple , Purple,Beanie,Grilled Cheese,Wooden Tooth,Japanese Uniform,No Traits,"['46.94', '43.11', '33.53']","[243.496, 243.496, 273.933]",3.0,46.94,243.5,46.94
139,782,2,Black,Purple , Purple,Fishing Hat,No Traits,No Traits,No Traits,Wayfarer Glasses,['13.41'],[243.496],1.0,13.41,243.5,13.41
140,1233,3,Yellow,Brown , Yellow,Policeman's Cap,Pizza,No Traits,Wetsuit,No Traits,"['46.85', '12.44']","[243.496, 243.496]",2.0,46.85,243.5,46.85
141,881,3,Red,Red , Blue,Beanie,Pizza,No Traits,Hoodie,No Traits,['106.34'],[243.496],1.0,106.34,243.5,106.34
142,4523,4,Purple,Purple , Purple,Crown,No Traits,Wooden Tooth,Bowling Shirt,Shutter Shades,,,,,,
143,865,2,Teal,Blue , Blue,No Traits,Soda,No Traits,Bowling Shirt,No Traits,"['70.00', '44.07']","[213.059, 243.496]",2.0,70.00,213.06,70.0
144,759,2,Red,Red , Peach,No Traits,Dirty Fiat,No Traits,Tie-Dye T-Shirt,No Traits,"['62.00', '55.00', '55.00', '75.00', '104.99']","[91.311, 91.311, 91.311, 213.059, 243.496]",5.0,62.00,91.31,62.0
145,927,2,Purple,Purple , Peach,Baseball Cap,No Traits,Gold Tooth,No Traits,No Traits,['14.37'],[243.496],1.0,14.37,243.5,14.37
146,958,3,Black,Black , Gray,Floral Crown,Burger,Wooden Tooth,No Traits,No Traits,['12.45'],[243.496],1.0,12.45,243.5,12.45
147,896,3,Purple,Purple , Purple,Musketeer's Hat,Pizza,No Traits,No Traits,Wayfarer Glasses,"['46.94', '28.74']","[243.496, 243.496]",2.0,46.94,243.5,46.94
148,1687,4,Green,Brown , Yellow,Mobster Hat,Sushi,No Traits,Suit,Aviator Glasses,"['114.00', '84.30']","[243.496, 243.496]",2.0,114.00,243.5,114.0
149,1205,3,Blue,Blue , Peach,Fishing Hat,Sushi,No Traits,Dress,No Traits,['19.16'],[243.496],1.0,19.16,243.5,19.16
150,1885,4,Black,Black , Gray,Graduation Cap,Smooth Brain,No Traits,Hoodie,Wayfarer Glasses,,,,,,
151,903,2,Black,Purple , Peach,Racoon Skin Hat,No Traits,No Traits,Leather Jacket,No Traits,,,,,,
152,948,3,Blue,Blue , Blue,Straw Hat,Pizza,No Traits,Turtleneck,No Traits,"['46.00', '76.64', '65.00', '91.01']","[182.622, 243.496, 243.496, 243.496]",4.0,46.00,182.62,46.0
153,790,2,Red,Red , Blue,Beanie,No Traits,No Traits,Black T-Shirt,No Traits,"['51.00', '17.20']","[182.622, 243.496]",2.0,51.00,182.62,51.0
154,1193,4,Blue,Albino , Blue,Conical Hat,Banana,No Traits,Black T-Shirt,Ape Vipers,,,,,,
155,1795,4,Teal,Black , Gray,Racoon Skin Hat,Burger,Gold Tooth,Japanese Uniform,No Traits,"['22.99', '14.18', '22.51', '16.29']","[243.496, 243.496, 243.496, 243.496]",4.0,22.99,243.5,22.99
156,767,1,Blue,Albino , Peach,No Traits,Grilled Cheese,No Traits,No Traits,No Traits,,,,,,
157,1209,3,Green,Albino , Peach,Explorer's Hat,Grilled Cheese,No Traits,Black T-Shirt,No Traits,['37.00'],[121.748],1.0,37.00,121.75,37.0
158,1045,3,Green,Red , Peach,Conical Hat,Hotdog,No Traits,Overalls,No Traits,['12.45'],[243.496],1.0,12.45,243.5,12.45
159,1446,4,Blue,Blue , Peach,Wizard's Hat,Drool,No Traits,Tie-Dye T-Shirt,Aviator Glasses,"['14.00', '96.00', '50.77', '37.26', '14.37']","[182.622, 213.059, 243.496, 243.496, 243.496]",5.0,14.00,182.62,14.0
160,1457,4,Black,Black , Peach,Headband,Pipe,No Traits,Black T-Shirt,Round Glasses,,,,,,
161,952,3,Blue,Blue , Peach,No Traits,Pipe,No Traits,Denim Vest,Wayfarer Glasses,,,,,,
162,1108,4,Red,Red , Peach,Musketeer's Hat,Sandwich,Wooden Tooth,Denim Vest,No Traits,"['46.46', '32.57', '27.78', '11.50', '7.66']","[243.496, 243.496, 243.496, 243.496, 243.496]",5.0,46.46,243.5,46.46
